,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,Private Pool,zip,price,zipTier,age
13043,4.0,1624.0,0.0,2.0,0,1.0,False,77303,390000.0,0,16.0
13044,3.0,1337.0,5533.0,2.0,0,1.0,False,77384,287892.0,1,1.0
13045,3.0,1337.0,8482.0,2.0,0,1.0,False,77384,295183.0,1,1.0
13046,3.0,2084.0,6370.0,2.0,0,1.0,False,77304,379990.0,0,1.0
13047,5.0,5891.0,12475.0,4.0,1,2.0,False,77385,799990.0,1,5.0
13048,4.0,1565.0,0.0,2.0,0,1.0,False,77385,343805.0,1,1.0
13049,4.0,4052.0,11613.0,3.0,1,2.0,False,77304,565500.0,0,18.0
13050,3.0,1524.0,0.0,2.0,0,1.0,False,77303,250000.0,0,26.0
13051,4.0,2207.0,11400.0,2.0,0,1.0,False,77385,359900.0,1,54.0
13052,5.0,3035.0,7871.0,4.0,0,2.0,False,77304,389000.0,0,5.0
13053,4.0,1820.0,12000.0,2.0,1,2.0,False,77385,299900.0,1,1.0
13054,3.0,2353.0,6171.0,2.0,1,2.0,False,77318,385000.0,1,3.0
13055,4.0,2285.0,5441.0,2.0,1,2.0,False,77302,285000.0,1,3.0
13056,3.0,1414.0,0.0,2.0,0,1.0,False,77385,341690.0,1,1.0
13057,3.0,1414.0,0.0,2.0,0,1.0,False,77385,339680.0,1,1.0
13058,4.0,2420.0,8480.0,2.0,1,2.0,False,77385,399900.0,1,18.0
13059,4.0,4180.0,11387.0,4.0,0,2.0,False,77385,750000.0,1,8.0
13060,3.0,1906.0,0.0,2.0,1,2.0,False,77304,302990.0,0,1.0
13061,4.0,2124.0,8073.0,2.0,1,2.0,False,77385,295000.0,1,12.0
13062,4.0,2532.0,6904.0,2.0,0,1.0,False,77304,330000.0,0,36.0
13063,2.0,1224.0,10996.0,2.0,0,1.0,False,77304,169900.0,0,15.0
13064,2.0,1233.0,5580.0,2.0,0,1.0,False,77303,199900.0,0,1.0
13065,4.0,2598.0,24360.0,2.0,1,1.0,True,77385,399900.0,1,31.0
13066,2.0,1043.0,72307.0,2.0,0,1.0,False,77356,224999.0,1,45.0
13067,3.0,2310.0,9439.0,2.0,1,1.0,False,77356,369000.0,1,34.0
13068,3.0,1723.0,0.0,2.0,0,1.0,False,77384,400000.0,1,24.0
13069,4.0,1987.0,17530.0,2.0,0,1.0,False,77301,285000.0,0,51.0
13070,2.0,1576.0,12000.0,2.0,0,1.5,False,77385,245000.0,1,53.0
13071,3.0,1528.0,5033.0,2.0,0,1.0,False,77385,248900.0,1,14.0
13072,4.0,1856.0,0.0,2.0,0,1.0,False,77304,346900.0,0,1.0
13073,3.0,1550.0,7405.0,2.0,0,1.0,False,77302,245999.0,1,20.0
13074,3.0,1308.0,4600.0,2.0,0,1.0,False,77301,247720.0,0,1.0
13075,3.0,1991.0,5969.0,2.0,0,1.0,False,77385,399990.0,1,1.0
13076,3.0,1400.0,4494.0,2.0,0,1.0,False,77301,259990.0,0,1.0
13077,4.0,2827.0,2573.0,4.0,1,3.0,False,77384,689000.0,1,1.0
13078,3.0,2221.0,2995.0,3.0,1,2.0,False,77384,644000.0,1,1.0
13079,3.0,1384.0,5001.0,2.0,1,2.0,False,77301,255000.0,0,17.0
13080,3.0,1587.0,6250.0,2.0,0,1.0,False,77384,299000.0,1,3.0
13081,3.0,1403.0,4589.0,2.0,0,1.0,False,77301,253330.0,0,1.0
13082,4.0,2294.0,9572.0,2.0,1,2.0,False,77304,299990.0,0,9.0
13083,3.0,1342.0,4494.0,2.0,0,1.0,False,77301,254990.0,0,1.0
13084,3.0,1964.0,6630.0,2.0,0,1.0,False,77304,320000.0,0,5.0
13085,5.0,2640.0,5275.0,3.0,0,2.0,False,77385,333000.0,1,12.0
