,Unnamed: 0,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,year built,Private Pool,zip,price
82,"1707 Benbow Oak Place Houston, TX 77080",3.0,1539.0,1538.0,2.0,0,2.0,2018.0,False,77080,329900.0
83,"4410 Wigton Drive Houston, TX 77096",3.0,2680.0,9600.0,2.0,1,1.0,1957.0,False,77096,515000.0
84,"1443 Scharpe Street Houston, TX 77023",3.0,1620.0,6250.0,2.0,0,1.0,1942.0,False,77023,399999.0
85,"3703 Creekmont Gardens Lane Houston, TX 77091",3.0,1815.0,2039.0,3.0,1,3.0,2022.0,False,77091,400000.0
86,"3223 Pecan Street Houston, TX 77087",3.0,1182.0,9012.0,2.0,0,1.0,1950.0,False,77087,265000.0
87,"722 Augusta Drive Houston, TX 77057",3.0,1702.0,397555.0,2.0,1,2.0,1978.0,False,77057,285000.0
88,"13323 Southpoint Lane Houston, TX 77034",3.0,1804.0,4235.0,2.0,0,1.0,2008.0,False,77034,272000.0
89,"5823 W Bellfort Street Houston, TX 77035",4.0,2509.0,10370.0,2.0,1,1.0,1965.0,False,77035,429000.0
90,"46 W Terrace Drive Houston, TX 77007",3.0,3821.0,5057.0,3.0,0,2.0,1995.0,False,77007,1250000.0
92,"16814 Laguna Springs Drive Houston, TX 77095",3.0,2620.0,7800.0,2.0,0,1.0,1995.0,False,77095,350000.0
93,"3387 Tampa Street Houston, TX 77021",3.0,1391.0,7560.0,2.0,0,1.0,1940.0,False,77021,335000.0
94,"11500 Meadow Lane #4 Houston, TX 77477",0.0,3968.0,8810.0,0.0,0,2.0,1983.0,False,77477,415000.0
95,"11471 Gullwood Drive Houston, TX 77089",4.0,2705.0,6349.0,2.0,1,2.0,1993.0,False,77089,334900.0
96,"2326 Bringhurst Street #7 Houston, TX 77026",0.0,720.0,5000.0,0.0,0,1.0,1930.0,False,77026,325000.0
97,"3007 Virginia Street Houston, TX 77098",4.0,6001.0,7800.0,4.0,1,2.0,2014.0,False,77098,2650000.0
98,"7350 Kirby Drive #11 Houston, TX 77030",2.0,1747.0,1447.0,2.0,1,2.0,1980.0,False,77030,299000.0
99,"5630 Longmont Drive Houston, TX 77056",5.0,9816.0,18080.0,7.0,2,3.0,2004.0,True,77056,3650000.0
100,"5234 Stamper Way Houston, TX 77056",3.0,3888.0,8282.0,3.0,1,2.0,1996.0,False,77056,1250000.0
102,"8222 Howard Drive #1 Houston, TX 77017",4.0,5095.0,14500.0,3.0,0,1.0,1960.0,False,77017,500000.0
104,"920 Redan Street Houston, TX 77009",2.0,1142.0,6250.0,1.0,0,1.0,1925.0,False,77009,795000.0
105,"8322 Brighton Lake Lane Houston, TX 77095",5.0,3651.0,8477.0,3.0,0,2.0,2003.0,False,77095,439000.0
106,"19403 Hickory Meadow Lane Houston, TX 77084",3.0,1776.0,5008.0,2.0,0,1.0,2006.0,False,77084,300000.0
107,"3414 Hardy Street Houston, TX 77009",3.0,1927.0,2500.0,2.0,1,2.0,2022.0,False,77009,449000.0
108,"723 Ashlen Drive Houston, TX 77073",4.0,1815.0,5063.0,2.0,0,1.0,2004.0,False,77073,253600.0
109,"12223 Drifting Pine Court Houston, TX 77066",3.0,2093.0,8866.0,2.0,1,2.0,1984.0,False,77066,244000.0
110,"3114 Stargate Court Houston, TX 77068",5.0,4084.0,11159.0,3.0,1,2.0,1999.0,False,77068,569000.0
111,"12100 Overbrook Lane 8D Houston, TX 77077",1.0,796.0,140798.0,1.0,0,1.0,1983.0,False,77077,110000.0
112,"13134 Hawkins Bend Houston, TX 77044",6.0,4539.0,11545.0,3.0,1,2.0,2014.0,False,77044,615000.0
113,"2215 Blindlake Drive Houston, TX 77084",5.0,2168.0,7475.0,3.0,1,2.0,1973.0,False,77084,275000.0
114,"6014 Forest Plaza Court Houston, TX 77066",4.0,2370.0,6644.0,2.0,0,1.0,1998.0,False,77066,319000.0
115,"1422 Oakengates Drive Houston, TX 77015",3.0,1383.0,7590.0,2.0,0,1.0,1979.0,False,77015,215000.0
116,"9230 Buffalo Bend Lane Houston, TX 77089",3.0,2013.0,6686.0,2.0,0,1.0,2002.0,False,77089,389500.0
117,"12531 Orleans Street Houston, TX 77015",3.0,1534.0,6420.0,2.0,0,1.0,1979.0,False,77015,199900.0
118,"920 Byrne Street Houston, TX 77009",4.0,4132.0,5000.0,4.0,0,2.0,2022.0,False,77009,1655000.0
119,"8439 Bluegate Drive Houston, TX 77025",3.0,2766.0,7665.0,2.0,0,2.0,1959.0,False,77025,729900.0
120,"16306 Scotch Hollow Lane Houston, TX 77083",4.0,1853.0,6184.0,2.0,0,1.0,2001.0,False,77083,285000.0
122,"1728 Wichita Houston, TX 77004",3.0,2353.0,0.0,2.0,1,2.0,2022.0,False,77004,575000.0
123,"5408 Inker Street Houston, TX 77007",3.0,2313.0,2450.0,2.0,1,2.0,2002.0,False,77007,435000.0
124,"10403 Rippling Fields Drive Houston, TX 77064",4.0,2160.0,7245.0,2.0,1,2.0,1979.0,False,77064,245000.0
125,"5247 Wigton Drive Houston, TX 77096",3.0,2304.0,10471.0,2.0,0,1.0,1960.0,False,77096,599900.0
126,"4510 Sanford Road Houston, TX 77035",4.0,2121.0,7560.0,3.0,0,1.0,1959.0,True,77035,399000.0
127,"8754 Park Kolbe Lane Houston, TX 77080",2.0,1462.0,827.0,2.0,1,3.0,2022.0,False,77080,375000.0
128,"19308 Tinway Court Houston, TX 77073",3.0,2062.0,3363.0,2.0,1,2.0,2016.0,False,77073,266000.0
129,"4415 Ibiza Lane Lane Houston, TX 77045",4.0,1802.0,2614.0,2.0,1,2.0,2022.0,False,77045,359000.0
130,"6623 Navidad Road Houston, TX 77083",3.0,1734.0,6325.0,2.0,0,1.0,1982.0,False,77083,274900.0
131,"15722 Caprock Drive Houston, TX 77598",3.0,1428.0,6600.0,2.0,0,1.0,1983.0,True,77598,275000.0
132,"2631 Teague Road Houston, TX 77080",4.0,2156.0,8800.0,2.0,0,1.0,1966.0,False,77080,345000.0
133,"6804 Westview Drive #2104 Houston, TX 77055",2.0,1529.0,0.0,2.0,0,1.0,2022.0,False,77055,415017.0
134,"8800 Tewantin Drive Houston, TX 77061",3.0,1204.0,11066.0,1.0,0,1.0,1952.0,False,77061,110000.0
135,"4410 Julian Street Houston, TX 77009",2.0,1306.0,5000.0,2.0,0,1.0,1930.0,False,77009,524000.0
136,"8306 Shoregrove Drive Drive Houston, TX 77346",4.0,3143.0,9600.0,3.0,1,2.0,2014.0,True,77346,649900.0
137,"2807 Durban Drive Houston, TX 77043",4.0,2435.0,7700.0,2.0,1,2.0,1971.0,False,77043,597900.0
138,"11710 Glossy Oak Lane Houston, TX 77066",3.0,2657.0,0.0,2.0,1,2.0,2022.0,False,77066,427650.0
139,"8710 Oak Kolbe Lane Houston, TX 77080",3.0,2332.0,3872.0,2.0,1,2.0,2022.0,False,77080,575000.0
140,"302 Connecticut Street Houston, TX 77029",3.0,1028.0,5009.0,2.0,0,1.0,2022.0,False,77029,229990.0
141,"5602 Bacher Street Houston, TX 77028",3.0,1298.0,4704.0,2.0,0,1.0,2022.0,False,77028,238990.0
142,"7943 Henson Street Houston, TX 77028",3.0,1090.0,4000.0,2.0,0,1.0,2022.0,False,77028,209990.0
143,"516 S Post Oak Lane #14 Houston, TX 77056",3.0,2410.0,2874.0,2.0,1,2.0,1996.0,False,77056,535000.0
144,"1527 Sheltering Oaks Lane Houston, TX 77345",5.0,4244.0,26459.0,4.0,1,2.0,2000.0,True,77345,899700.0
145,"6821 Avenue N Houston, TX 77011",2.0,642.0,2500.0,1.0,0,1.0,1930.0,False,77011,140000.0
146,"4817 Leffingwell Street Houston, TX 77026",6.0,1400.0,11700.0,4.0,0,1.0,1935.0,False,77026,285000.0
147,"18710 Resica Falls Lane Houston, TX 77094",4.0,2931.0,9720.0,3.0,1,2.0,1997.0,False,77094,469000.0
148,"2515 Shakespeare Street #16 Houston, TX 77030",1.0,570.0,13378.0,1.0,0,1.0,1960.0,False,77030,165000.0
149,"4007 Mistissin Lane Houston, TX 77053",3.0,1355.0,5055.0,2.0,0,1.0,2005.0,False,77053,185000.0
150,"2475 Underwood Street #279 Houston, TX 77030",2.0,1224.0,324898.0,2.0,0,1.0,1977.0,False,77030,195000.0
151,"5304 Creekmont Timbers Trail Houston, TX 77091",3.0,1815.0,1682.0,3.0,1,3.0,2022.0,False,77091,394900.0
152,"6738 Sussex Manor Street Houston, TX 77055",3.0,2140.0,1506.0,3.0,0,3.0,2017.0,False,77055,439990.0
153,"22 E Terrace Drive Houston, TX 77007",3.0,4275.0,6562.0,4.0,0,2.0,1991.0,False,77007,1275000.0
154,"2830 Loganberry Park Lane Houston, TX 77014",3.0,1636.0,3408.0,2.0,1,2.0,2002.0,False,77014,225000.0
155,"3906 Antibes Lane Houston, TX 77082",4.0,4459.0,9600.0,3.0,1,2.0,2007.0,True,77082,1235000.0
156,"16806 Pine Castle Drive Houston, TX 77095",2.0,1540.0,3301.0,2.0,1,2.0,2004.0,False,77095,222000.0
157,"0 Bringhurst Street #7 Houston, TX 77020",0.0,792.0,10000.0,0.0,0,1.0,1930.0,False,77020,390000.0
158,"3821-3843 Mount Pleasant Street Houston, TX 77021",0.0,9420.0,18000.0,0.0,0,1.0,1960.0,False,77021,1450000.0
159,"11714 Empress Oaks Court Houston, TX 77082",5.0,6013.0,21569.0,4.0,1,2.0,2000.0,True,77082,1950000.0
160,"10202 Forum Park Drive #310 Houston, TX 77036",1.0,754.0,152022.0,1.0,0,1.0,1981.0,False,77036,79999.0
161,"13311 Blazey Drive Houston, TX 77041",2.0,985.0,6490.0,1.0,0,1.0,1980.0,False,77041,199900.0
162,"5039 Azalea Trace Drive Houston, TX 77066",4.0,2352.0,4598.0,2.0,1,2.0,2019.0,False,77066,298888.0
163,"10239 Metronome Drive Houston, TX 77043",4.0,2789.0,8640.0,3.0,0,2.0,1962.0,True,77043,550000.0
164,"946 W 22nd Street Houston, TX 77008",3.0,2945.0,1850.0,3.0,1,3.0,2006.0,False,77008,469999.0
165,"13219 Liliana Glen Lane Houston, TX 77044",3.0,1597.0,4600.0,2.0,0,1.0,2019.0,False,77044,242500.0
166,"3602 Hombly Road Houston, TX 77066",3.0,2170.0,6300.0,2.0,1,2.0,1983.0,False,77066,253999.0
167,"12207 Dapple Lane Houston, TX 77065",2.0,1381.0,6000.0,2.0,0,1.0,1982.0,False,77065,239900.0
168,"5591 Longmont Drive Houston, TX 77056",5.0,9846.0,18470.0,5.0,3,3.0,2006.0,True,77056,4100000.0
169,"5506 Dryad Drive Houston, TX 77035",3.0,1426.0,7920.0,2.0,0,1.0,1965.0,False,77035,315000.0
170,"9401 Shoreham Street Houston, TX 77093",3.0,1132.0,6300.0,1.0,0,1.0,1945.0,False,77093,209000.0
171,"2428 Sheridan Street Houston, TX 77030",4.0,3147.0,3438.0,3.0,1,3.0,2019.0,True,77030,830000.0
172,"9227 Goodmeadow Drive Houston, TX 77064",4.0,1335.0,4726.0,2.0,0,1.0,1983.0,False,77064,249999.0
173,"4008 Alba Road Houston, TX 77018",3.0,3191.0,6112.0,2.0,1,2.0,2008.0,False,77018,775000.0
174,"319 Eado Park Circle Houston, TX 77020",3.0,1967.0,1453.0,3.0,1,4.0,2018.0,False,77020,430000.0
175,"17831 Butte Creek Road Houston, TX 77090",4.0,2467.0,9720.0,2.0,1,2.0,1972.0,True,77090,314900.0
176,"1347 Chardonnay Drive Houston, TX 77077",3.0,2068.0,903156.0,2.0,1,2.0,1977.0,False,77077,267000.0
177,"5843 Paisley Street Houston, TX 77096",4.0,3067.0,8760.0,2.0,0,1.0,1963.0,False,77096,450000.0
178,"3708 Noah Street Houston, TX 77021",4.0,2003.0,2500.0,3.0,0,2.0,2022.0,False,77021,369900.0
179,"11010 Wickwood Drive Houston, TX 77024",5.0,10284.0,0.0,6.0,2,2.0,2007.0,True,77024,6495000.0
180,"16430 Regal Exeter Drive Houston, TX 77073",4.0,2092.0,5029.0,2.0,1,2.0,2016.0,False,77073,279000.0
181,"12538 Cherry Creek Bend Lane Houston, TX 77041",4.0,3265.0,10154.0,3.0,0,2.0,1996.0,True,77041,635000.0
182,"5734 Cheena Drive Houston, TX 77096",3.0,2076.0,9000.0,2.0,0,1.0,1960.0,False,77096,399000.0
183,"3416 Hardy Street Houston, TX 77009",3.0,1927.0,2500.0,2.0,1,2.0,2022.0,False,77009,449000.0
184,"10127 White Oak Trail Lane Houston, TX 77064",5.0,4107.0,6300.0,3.0,1,2.0,1999.0,False,77064,449999.0
185,"5922 Arcola Meadow Court Houston, TX 77059",5.0,3704.0,7737.0,3.0,1,2.0,2019.0,False,77059,600000.0
186,"3819 Murworth Drive Houston, TX 77025",3.0,1844.0,8400.0,2.0,0,1.0,1955.0,False,77025,460000.0
187,"14023 Saint Marys Lane Houston, TX 77079",3.0,1692.0,7368.0,2.0,0,1.0,1965.0,False,77079,565000.0
188,"8427 Lorrie Drive Houston, TX 77025",3.0,1672.0,9600.0,2.0,0,1.0,1952.0,False,77025,499000.0
189,"1635 Althea Drive Houston, TX 77018",3.0,1615.0,6960.0,2.0,0,1.0,1949.0,False,77018,549900.0
190,"13918 Hollypark Drive Houston, TX 77015",3.0,1531.0,13760.0,2.0,0,1.0,1963.0,False,77015,229500.0
191,"12261 Oxford Crescent Circle Houston, TX 77082",4.0,2341.0,1891.0,3.0,1,3.0,2015.0,False,77082,385000.0
192,"12410 Skyview Star Court Houston, TX 77047",3.0,2271.0,4516.0,2.0,1,2.0,2013.0,False,77047,299000.0
193,"2303 Lochmere Way Houston, TX 77345",4.0,3291.0,11326.0,3.0,0,1.0,1999.0,True,77345,445000.0
194,"12628 Newbrook Drive Houston, TX 77072",3.0,1382.0,1540.0,2.0,1,2.0,1977.0,False,77072,169999.0
195,"9715 Kindletree Drive Houston, TX 77040",4.0,2646.0,8868.0,2.0,1,2.0,1971.0,False,77040,325000.0
196,"4126 Surreydon Drive Houston, TX 77014",3.0,2081.0,6742.0,2.0,0,1.0,1995.0,False,77014,259500.0
197,"11731 Apple Bough Circle Houston, TX 77067",2.0,1279.0,6600.0,2.0,0,1.0,1982.0,False,77067,215000.0
198,"4410 Aledo Street Houston, TX 77051",3.0,1144.0,5200.0,2.0,0,1.0,2020.0,False,77051,200500.0
199,"2200 Willowick Road 10K Houston, TX 77027",1.0,1025.0,0.0,1.0,0,1.0,1963.0,False,77027,325000.0
200,"1426 Heath Cote Lane Houston, TX 77073",3.0,2183.0,4650.0,2.0,1,2.0,2006.0,False,77073,279900.0
201,"316 N Stiles Street Houston, TX 77011",3.0,1953.0,2500.0,2.0,1,2.0,2020.0,False,77011,390000.0
202,"736 W Rittenhouse Road Houston, TX 77091",3.0,1271.0,11697.0,1.0,0,1.0,1940.0,False,77091,150000.0
203,"202 Hyde Park Boulevard Houston, TX 77006",3.0,1944.0,2400.0,2.0,1,2.0,1978.0,False,77006,460000.0
204,"6406 Joe Louis Lane Houston, TX 77091",3.0,2524.0,5450.0,2.0,0,1.0,2022.0,False,77091,394900.0
205,"3514 Emerald Falls Court Houston, TX 77059",3.0,2895.0,7813.0,2.0,1,1.0,1995.0,True,77059,549000.0
206,"16707 Keegans Ridge Way Drive Houston, TX 77083",5.0,3384.0,5969.0,3.0,0,2.0,2001.0,False,77083,465000.0
207,"5934 Green Falls Drive Houston, TX 77088",4.0,1595.0,11900.0,2.0,0,1.0,1975.0,False,77088,235000.0
208,"14420 Walters Road #63 Houston, TX 77014",3.0,2002.0,2132.0,2.0,1,2.0,1998.0,False,77014,229000.0
209,"9909 Pine Lake Drive Houston, TX 77055",4.0,2660.0,9230.0,3.0,0,1.0,1960.0,False,77055,529000.0
210,"1451 Springrock Lane D Houston, TX 77055",3.0,3662.0,4561.0,3.0,1,3.0,2006.0,False,77055,585000.0
211,"13910 Lake Michigan Avenue Houston, TX 77044",4.0,3727.0,10006.0,3.0,1,2.0,2012.0,True,77044,649900.0
212,"14911 Indian Quail Circle Houston, TX 77095",4.0,2282.0,11700.0,2.0,0,1.0,1978.0,False,77095,299000.0
213,"7614 Muirwood Lane Houston, TX 77041",3.0,1430.0,6600.0,2.0,0,1.0,1980.0,False,77041,255000.0
215,"3705 Tangerine Street Houston, TX 77051",2.0,1100.0,7200.0,1.0,0,1.0,1960.0,False,77051,154900.0
216,"3302 Audley Street #117 Houston, TX 77098",2.0,1696.0,0.0,2.0,1,3.0,2013.0,False,77098,390000.0
217,"7203 Eldridge Meadow Court Houston, TX 77041",3.0,1680.0,6447.0,2.0,1,2.0,1999.0,False,77041,260000.0
218,"1610 Antoine Drive Houston, TX 77055",3.0,1775.0,7998.0,2.0,1,1.0,1956.0,False,77055,485000.0
219,"12323 Wrenthorpe Drive Houston, TX 77031",3.0,2080.0,8880.0,2.0,1,1.0,1975.0,True,77031,300000.0
220,"4948 Leeland Street Houston, TX 77023",2.0,1546.0,5000.0,2.0,0,1.0,1925.0,False,77023,429900.0
221,"7228 Avenue B Houston, TX 77011",2.0,1290.0,10000.0,1.0,0,1.0,1930.0,False,77011,315000.0
222,"11011 Sagewillow Lane Houston, TX 77089",4.0,2229.0,7782.0,2.0,0,1.0,1965.0,False,77089,269900.0
223,"4719 Marietta Lane Houston, TX 77021",2.0,1464.0,7125.0,1.0,0,1.0,1949.0,False,77021,260000.0
224,"12607 Laleu Lane Houston, TX 77071",3.0,2172.0,5080.0,2.0,1,2.0,1991.0,False,77071,252000.0
